Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,25.250000,25.940001,25.160000,25.889999,24.929338,7216300
2015-02-01,25.760000,25.850000,25.200001,25.410000,24.467154,21346700
2015-03-01,25.379999,25.629999,25.070000,25.540001,24.619909,9922100
2015-04-01,25.580000,26.000000,25.270000,25.360001,24.468544,3953800
2015-05-01,25.290001,25.719999,25.040001,25.260000,24.395933,4040700
2015-06-01,25.270000,25.440001,24.830000,25.020000,24.183214,9401800
2015-07-01,24.920000,25.270000,24.910000,25.260000,24.434532,5138900
2015-08-01,25.230000,25.590000,25.100000,25.209999,24.411535,5149800
2015-09-01,25.290001,25.480000,25.070000,25.410000,24.632504,6498800
2015-10-01,25.410000,25.610001,25.240000,25.309999,24.562847,7383700
2015-11-01,25.209999,25.250000,24.950001,25.180000,24.463642,9228300
2015-12-01,25.150000,25.299999,24.980000,25.059999,24.374987,7979000
2016-01-01,25.170000,25.620001,25.070000,25.600000,24.955770,19102100
2016-02-01,25.520000,26.250000,25.500000,25.809999,25.160488,13746000
2016-03-01,25.790001,25.820000,25.450001,25.799999,25.180250,17263300
2016-04-01,25.760000,25.930000,25.549999,25.709999,25.092405,7199700
2016-05-01,25.690001,25.889999,25.620001,25.709999,25.092405,9135500
2016-06-01,25.709999,26.299999,25.650000,26.240000,25.639597,8276900
2016-07-01,26.299999,26.450001,26.049999,26.330000,25.759600,19431600
2016-08-01,26.190001,26.260000,26.040001,26.110001,25.573603,12645000
2016-09-01,26.020000,26.200001,25.840000,26.080000,25.573355,10580100
2016-10-01,26.070000,26.070000,25.680000,25.770000,25.297606,18528300
2016-11-01,25.670000,25.830000,24.940001,24.990000,24.558271,17998300
2016-12-01,24.900000,25.040001,24.719999,24.930000,24.526911,31855100
