Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,206.380005,206.880005,198.550003,199.449997,188.620041,3172346300
2015-02-01,200.050003,212.240005,197.860001,210.660004,199.221344,1886530700
2015-03-01,210.779999,212.059998,204.119995,206.429993,195.221054,2715830100
2015-04-01,206.429993,212.479996,204.509995,208.460007,198.020798,2020719500
2015-05-01,209.399994,213.779999,206.759995,211.139999,200.566574,1877801000
2015-06-01,211.940002,213.339996,205.279999,205.889999,195.579468,2529515900
2015-07-01,207.729996,213.179993,204.110001,210.449997,200.883865,2447834300
2015-08-01,210.460007,211.309998,182.399994,199.160004,190.107056,4319602000
2015-09-01,193.119995,202.889999,186.929993,191.589996,182.881134,3244515300
2015-10-01,192.080002,209.440002,189.119995,208.889999,200.431534,3214338800
2015-11-01,208.320007,211.660004,202.179993,208.690002,200.239670,1919256000
2015-12-01,209.440002,211.000000,199.830002,203.869995,195.614822,2909446200
2016-01-01,200.490005,201.899994,181.020004,193.720001,186.981628,3706355900
2016-02-01,192.529999,196.679993,181.089996,193.559998,186.827194,2906266800
2016-03-01,195.009995,206.869995,194.449997,205.520004,198.371201,2316545700
2016-04-01,204.350006,210.919998,203.089996,206.330002,200.180191,1891453600
2016-05-01,206.919998,210.690002,202.779999,209.839996,203.585556,1825968300
2016-06-01,209.119995,212.520004,198.649994,209.479996,203.236313,2610023600
2016-07-01,209.479996,217.539993,207.059998,217.119995,211.744019,1641352200
2016-08-01,217.190002,219.600006,214.250000,217.380005,211.997604,1512153500
2016-09-01,217.369995,219.220001,212.309998,216.300003,210.944336,2290019800
2016-10-01,215.820007,216.699997,211.210007,212.550003,208.334351,1721815600
2016-11-01,212.929993,221.820007,208.380005,220.380005,216.009033,2063815200
2016-12-01,220.729996,228.339996,219.149994,223.529999,219.096573,1808241300
